"","The online pre-enrollment system makes it easy for me to find the courses I need.","Using the online system allows me to easily manage my course selection and subjects.","Compared to traditional enrollment methods, the online system saves me time and allows me to focus on other academic priorities.","Does the online pre-registration system offer clear and easy-to-follow instructions as you complete the process?","The instructions for pre-registering online were clear and understandable.","I did not experience any difficulty completing the online pre-registration process.","Navigating the online pre-registration system was easy.","I was satisfied with my experience using the online pre-registration system.","Online pre-registration is a valuable tool for enrolling in classes.","Using the online pre-enrollment system reduces stress during the enrollment process.","I would prefer to pre-register for all my classes online rather than using a paper form.","The system makes enrolling in classes more interesting.","My teachers/advisors clearly explained the benefits and process of online pre-registration.","The school provided informative resources (e.g., tutorials, FAQs) on how to use the online pre-registration system.","Seeing posters or announcements about online pre-registration around school encouraged me to learn more about it.","My classmates were open to discussing their online pre-registration experiences with me.","I have reliable internet access at home to complete the online pre-registration process.","The online pre-registration system provided me with clear instructions on how to complete the process.","The layout and design of the online pre-registration system are clear and user-friendly.","I have all the resources required to use the system","I am confident in my ability to understand and follow the instructions for using the online pre-registration system.","Even if I encounter technical difficulties during online pre-registration, I am confident I can find solutions on my own.","I feel confident using technology to pre-register for classes.","I believe I can successfully complete the online pre-registration process without needing help from others.","I worry about making mistakes during the online pre-registration process.","The possibility of encountering technical difficulties during online pre-registration makes me anxious.","It would make me feel more comfortable using the online pre-registration system if I knew for sure my information cannot be accessed by unauthorized people.","I am concerned about the possibility of my information being lost or not processed during online pre-registration.","Using online pre-registration helps ensure my registration information is accurate and complete.","I plan to use the online pre-registration system for enrolling in classes every semester."
"1",1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
"2",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"3",3,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,1,2,3,2,2,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,2,2
"6",2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,3,1,2,1,1,1,1,1,2
"7",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"8",1,1,1,1,1,1,1,1,2,1,3,2,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1
"9",1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,3,2,2,2,1
"10",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,1
"11",3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2
"12",3,3,3,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,3,2,2,2,1,2,2,2,2,1,2,1
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",2,3,1,2,4,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"15",1,1,1,1,1,1,2,1,1,1,1,2,3,3,3,3,1,3,2,2,1,2,2,1,2,2,1,1,1,1
"16",1,1,3,2,1,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1
"17",4,3,2,4,3,3,3,3,4,4,2,3,2,3,4,4,4,3,3,2,3,3,3,2,4,4,3,3,3,2
"18",2,2,2,2,2,2,2,2,1,2,1,2,3,2,2,2,2,2,2,2,1,1,1,1,4,5,4,3,2,2
"19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20",1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",2,2,1,1,2,2,1,2,1,1,3,3,2,2,1,2,2,2,1,2,1,3,2,2,1,2,1,2,2,2
"22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,2,5,1,1
"24",1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1
"25",2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,2,1
"26",2,2,2,3,3,3,3,3,2,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,1,1,2,2,3,3
"27",1,1,1,2,3,4,2,2,2,1,1,4,4,2,1,4,1,2,4,2,1,5,2,4,1,1,1,2,4,1
"28",1,3,1,2,3,3,1,1,1,1,3,1,1,1,3,1,1,3,1,3,1,2,1,2,1,1,1,1,1,1
"29",3,2,2,2,2,2,3,3,2,1,2,2,2,2,2,3,2,2,2,2,2,3,2,3,1,1,2,2,2,2
"30",1,5,5,1,1,5,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,5,1,1,5
"31",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"32",2,2,1,1,1,1,1,1,1,2,1,2,3,1,3,2,1,1,1,2,2,2,2,3,2,2,1,2,1,2
"33",3,3,1,2,2,2,1,1,2,1,4,4,1,1,4,2,1,3,2,2,3,3,3,1,5,5,2,4,3,3
"34",5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,3,4,4
"35",1,1,1,1,2,4,1,1,2,1,1,1,4,3,3,4,3,2,1,2,2,4,1,4,2,1,1,1,3,1
"36",2,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,2,1,3,4,2,3,4,2
"37",1,1,3,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,3,3,2,3,3,2,1
"38",1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,3,2,3,1,3,2,4,1,1
"39",2,2,3,2,2,4,3,3,2,3,3,3,3,2,3,3,2,2,3,3,2,2,2,3,4,3,2,2,2,4
"40",2,2,2,3,3,2,2,3,2,2,3,3,2,3,2,2,3,2,2,2,3,3,3,2,1,2,2,2,2,2
"41",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2
"43",5,5,5,5,4,4,4,4,5,5,4,3,4,5,5,5,5,5,3,5,5,4,4,4,3,3,3,3,5,4
"44",2,3,2,2,2,1,1,3,1,1,1,3,2,2,2,3,1,2,2,1,1,3,1,3,2,1,1,2,1,1
"45",4,3,5,5,5,4,5,5,4,3,5,3,2,4,3,3,5,4,3,5,4,3,5,4,5,4,5,4,3,4
"46",1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
"48",1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1
"49",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"50",4,4,4,4,5,2,3,3,3,5,4,4,3,3,4,4,3,3,4,4,4,4,5,4,3,3,4,3,4,3
"51",3,2,3,2,3,4,2,3,1,1,1,3,2,2,3,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"53",5,5,5,5,4,4,4,5,5,4,5,4,4,4,3,4,3,4,4,4,3,3,3,4,4,4,4,4,4,5
"54",1,1,1,1,1,2,1,2,1,2,2,1,4,2,4,4,1,5,1,1,1,1,1,1,1,2,3,2,2,3
"55",2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,3,1,2,2,1,1,1,1,4,1,2,3,2,2
"56",2,2,2,3,2,2,2,1,3,3,3,2,1,1,1,1,2,2,1,2,2,2,2,2,3,2,3,3,3,3
"57",1,1,1,1,3,2,2,2,3,2,2,1,2,2,2,2,2,1,1,2,3,3,2,2,2,3,2,1,2,2
"58",1,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
"59",1,2,1,2,2,2,1,2,1,1,1,3,2,1,2,3,2,1,2,1,1,1,1,1,2,2,1,1,1,2
"60",1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,3,3,2,3,2,1
"61",1,1,1,1,1,1,1,2,2,1,2,3,1,1,1,3,1,1,1,2,1,1,1,1,2,2,3,4,1,1
"62",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
"63",1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,3,2,2,1,1,2,2,2,1,2
"64",2,3,1,1,2,1,1,1,2,2,3,1,1,2,2,3,1,1,1,1,3,2,1,1,2,2,1,1,3,2
"65",2,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,3,1,1,2,2,3,2,2,2,3,1
"66",4,5,5,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,5,4,5,5,5,4,4,4,4,4,5
"67",5,4,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,5,4,4,4,4,4,5,5,4,4,5,5,4
"68",1,2,2,2,2,1,1,2,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2
"69",1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2
"70",4,5,4,5,5,4,5,4,5,4,4,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,4,4,5,5
"71",2,1,1,1,1,2,1,1,3,2,1,1,3,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1
"72",2,1,1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,1,2
"73",5,4,5,4,5,5,4,4,4,4,4,5,5,5,4,4,5,4,5,5,4,5,5,5,4,4,5,5,4,5
"74",1,2,2,2,3,1,2,1,2,2,3,1,2,1,1,1,1,1,2,2,3,2,1,1,1,2,2,2,1,4
"75",4,5,5,4,5,4,5,5,5,5,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,4,4,5,5,4
"76",4,5,5,5,5,5,4,5,4,4,4,5,4,5,5,4,4,4,5,5,5,5,5,5,4,5,4,5,5,4
"77",1,1,1,2,3,1,1,3,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2
"78",2,2,2,3,3,2,3,2,2,2,2,2,3,3,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,3
"79",5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,5,4,5,4,5,4,4,4,4,5,5
"80",5,5,5,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5
"81",1,2,1,2,2,2,1,1,1,1,2,1,3,3,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,3
"82",5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
"83",5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5
"84",5,4,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"85",5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"86",5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,4,5
"87",5,5,5,4,5,5,5,5,4,4,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
"88",1,1,2,2,2,1,1,2,2,3,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,2,2,1,1
"89",3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3
"90",5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5
"91",2,1,1,2,2,1,2,1,3,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,3,1
"92",5,5,5,5,5,4,5,4,4,4,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
"93",5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4,5,4,5,5,4,5,5,4,4,4
"94",1,1,2,1,2,1,1,2,2,3,2,2,2,2,2,1,1,1,2,2,2,3,3,2,1,1,2,2,1,1
"95",4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5
"96",1,2,2,2,2,2,2,2,2,3,2,2,3,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,3
"97",5,5,5,5,5,4,4,4,5,5,5,4,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5
"98",2,2,1,1,2,2,3,2,2,2,2,1,1,2,1,1,1,2,1,1,1,3,2,2,2,2,2,2,3,2
"99",5,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5
"100",1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1
"101",1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"102",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
